# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu
# passages=312 movedThrough=46 captured=33 chunks=14
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a runner in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,captured,photos
10,11,6933444,7066777,133333,2,0.4891,0.1222,0.4891,0.1222,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3779,0.0833,0,0
10,12,10266888,10933555,666667,6,0.3492,0.1528,0.3477,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0032,0.3760,0.1981,0,0
10,13,10266888,10933555,666667,6,0.0844,0.0986,0.0859,0.1014,0.0000,0.0000,0.0000,0.0,static,0.0032,0.5748,0.1074,0,0
10,14,10266888,10933555,666667,6,0.4180,0.1944,0.4164,0.1944,0.0000,0.0000,0.0000,0.0,static,0.0016,0.3164,0.2472,0,0
10,15,10266888,10933555,666667,6,0.1820,0.0764,0.1820,0.0792,0.0000,0.0000,0.0000,0.0,static,0.0028,0.5275,0.1278,0,0
10,16,10266888,10933555,666667,6,0.2813,0.1278,0.2813,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0028,0.4278,0.1565,0,0
11,1,0,666666,666666,5,0.2805,0.0750,0.2852,0.0750,0.0000,0.0000,0.0000,0.0,static,0.0047,0.4762,0.0278,0,0
11,2,266666,1466666,1200000,7,0.3492,0.1556,0.3523,0.1528,0.0000,0.0000,0.0000,0.0,static,0.0042,0.3754,0.2008,0,0
11,3,266666,1466666,1200000,7,0.2828,0.1333,0.2820,0.1389,0.0000,0.0000,0.0000,0.0,static,0.0056,0.4218,0.1500,0,0
11,4,266666,1466666,1200000,7,0.4180,0.1889,0.4180,0.1917,0.0000,0.0000,0.0000,0.0,static,0.0028,0.3168,0.2452,0,0
11,5,266666,1466666,1200000,7,0.1820,0.0764,0.1820,0.0750,0.0000,0.0000,0.0000,0.0,static,0.0014,0.5286,0.1290,0,0
11,6,266666,1466666,1200000,7,0.0875,0.0986,0.0875,0.0986,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5736,0.1099,0,0
