# run4mins.mp4 · Face + Person · litert_npu · minFaceScore=0.6341 (logit 0.5500)
# weights sharpness=0.4 size=0.2 centre=0.15 confidence=0.15 framing=0.1
file,chunk,ptsUs,score,scoreLogit,sharpness,subjectRatio,quality,qSharpness,qSize,qCentre,qConfidence,qFraming,track
person_c022_6240000.jpg,22,170960000,0.8106,1.4537,477.34,0.0475,0.7774,0.8802,0.3958,0.6913,0.9503,1.0000,35
person_c023_3840000.jpg,23,175760000,0.7445,1.0697,315.15,0.0387,0.7407,0.8290,0.3225,0.7578,0.8728,1.0000,38
person_c023_3960000.jpg,23,175880000,0.7746,1.2343,643.73,0.0449,0.7711,0.9083,0.3738,0.6453,0.9080,1.0000,38
person_c023_4080000.jpg,23,176000000,0.7931,1.3440,428.89,0.0484,0.7443,0.8684,0.4031,0.5125,0.9298,1.0000,38
person_c023_4200000.jpg,23,176120000,0.8063,1.4263,169.22,0.0501,0.6076,0.7225,0.4178,0.3406,0.9453,0.4219,38
person_c023_6720000.jpg,23,178640000,0.8063,1.4263,356.12,0.0475,0.7766,0.8456,0.3958,0.7828,0.9453,1.0000,39
person_c023_6840000.jpg,23,178760000,0.8268,1.5634,320.00,0.0475,0.7723,0.8312,0.3958,0.7687,0.9693,1.0000,39
person_c023_7080000.jpg,23,179000000,0.8188,1.5085,306.34,0.0545,0.7759,0.8250,0.4544,0.7405,0.9600,1.0000,39
person_c023_7200000.jpg,23,179120000,0.7976,1.3714,238.15,0.0519,0.7495,0.7856,0.4324,0.7234,0.9351,1.0000,39
person_c023_7320000.jpg,23,179240000,0.7599,1.1520,183.65,0.0572,0.7111,0.7386,0.4764,0.5781,0.8908,1.0000,39
person_c024_2160000.jpg,24,181760000,0.8147,1.4811,228.02,0.0545,0.7531,0.7782,0.4544,0.7177,0.9551,1.0000,40
person_c024_2280000.jpg,24,181880000,0.7976,1.3714,284.34,0.0519,0.7561,0.8139,0.4324,0.6922,0.9351,1.0000,40
person_c024_2400000.jpg,24,182000000,0.8063,1.4263,312.67,0.0572,0.7557,0.8279,0.4764,0.5828,0.9453,1.0000,40
person_c026_7560000.jpg,26,201560000,0.7746,1.2343,308.70,0.0431,0.7545,0.8261,0.3591,0.7734,0.9080,1.0000,54
person_c027_0.jpg,27,201680000,0.7931,1.3440,382.55,0.0457,0.7675,0.8548,0.3811,0.7328,0.9298,1.0000,54
person_c027_120000.jpg,27,201800000,0.8383,1.6457,584.68,0.0545,0.7644,0.9000,0.4544,0.4406,0.9828,1.0000,54
person_c027_480000.jpg,27,202160000,0.8020,1.3988,86.59,0.0405,0.6525,0.5712,0.3371,0.7704,0.9402,1.0000,55
person_c027_720000.jpg,27,202400000,0.8268,1.5634,122.79,0.0431,0.6674,0.6539,0.3591,0.5906,0.9693,1.0000,55
person_c027_840000.jpg,27,202520000,0.8346,1.6183,266.24,0.0501,0.6766,0.8038,0.4178,0.4359,0.9784,0.5938,55
person_c027_4320000.jpg,27,206000000,0.7886,1.3166,576.75,0.0431,0.7701,0.8987,0.3591,0.6672,0.9245,1.0000,56
person_c027_4440000.jpg,27,206120000,0.7886,1.3166,405.67,0.0484,0.7674,0.8619,0.4031,0.6887,0.9245,1.0000,56
person_c027_4560000.jpg,27,206240000,0.8020,1.3988,336.94,0.0545,0.7643,0.8383,0.4544,0.6473,0.9402,1.0000,56
person_c027_4920000.jpg,27,206600000,0.8020,1.3988,83.92,0.0572,0.6521,0.5635,0.4764,0.6025,0.9402,1.0000,56
person_c028_3360000.jpg,28,212720000,0.8456,1.7005,271.26,0.0475,0.7138,0.8067,0.3958,0.6094,0.9913,0.7188,57
person_c028_3480000.jpg,28,212840000,0.8420,1.6731,270.55,0.0501,0.7572,0.8063,0.4178,0.6869,0.9871,1.0000,57
person_c028_3600000.jpg,28,212960000,0.8526,1.7554,187.89,0.0519,0.7324,0.7430,0.4324,0.6588,0.9996,1.0000,57
person_c029_120000.jpg,29,217160000,0.7746,1.2343,166.65,0.0431,0.7120,0.7194,0.3591,0.7750,0.9080,1.0000,59
person_c029_240000.jpg,29,217280000,0.7976,1.3714,176.65,0.0457,0.7057,0.7310,0.3811,0.6453,0.9351,1.0000,59
person_c029_360000.jpg,29,217400000,0.8268,1.5634,333.50,0.0475,0.7362,0.8369,0.3958,0.5125,0.9693,1.0000,59
person_c029_5040000.jpg,29,222080000,0.8020,1.3988,119.24,0.0501,0.6845,0.6472,0.4178,0.6734,0.9402,1.0000,64
person_c029_5160000.jpg,29,222200000,0.7976,1.3714,175.53,0.0519,0.7009,0.7298,0.4324,0.5484,0.9351,1.0000,64
person_c029_5280000.jpg,29,222320000,0.8106,1.4537,298.16,0.0519,0.7075,0.8210,0.4324,0.4484,0.9503,0.8281,64
person_c029_6720000.jpg,29,223760000,0.6711,0.7131,73.53,0.0325,0.6170,0.5308,0.2712,0.8828,0.7867,1.0000,71
person_c030_240000.jpg,30,224480000,0.6589,0.6583,132.43,0.0387,0.6237,0.6708,0.3225,0.5000,0.7724,1.0000,71
person_c030_360000.jpg,30,224600000,0.6831,0.7680,128.23,0.0369,0.5928,0.6636,0.3078,0.3875,0.8008,0.8750,71
person_c030_1440000.jpg,30,225680000,0.7697,1.2068,108.29,0.0484,0.6482,0.6249,0.4031,0.5484,0.9024,1.0000,70
person_c030_1560000.jpg,30,225800000,0.8106,1.4537,104.71,0.0475,0.6326,0.6170,0.3958,0.4484,0.9503,0.9687,70
person_c030_1680000.jpg,30,225920000,0.8307,1.5908,217.81,0.0528,0.6505,0.7702,0.4398,0.3375,0.9739,0.5781,70
person_c032_0.jpg,32,239600000,0.7006,0.8503,153.78,0.0325,0.6847,0.7029,0.2712,0.8406,0.8214,1.0000,75
person_c032_120000.jpg,32,239720000,0.7231,0.9600,92.77,0.0387,0.6394,0.5880,0.3225,0.7500,0.8477,1.0000,75
person_c032_480000.jpg,32,240080000,0.7340,1.0148,165.99,0.0387,0.6308,0.7186,0.3225,0.4156,0.8605,0.8750,75
person_c032_3720000.jpg,32,243320000,0.7340,1.0148,81.08,0.0431,0.6096,0.5551,0.3591,0.5781,0.8605,1.0000,80
